Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
LeGarrette Blount,NWE,68,174,16,69.4%,42,67,15,66.7%,24,18,12,75.0%,All LeGarrette Blount red zone rushing plays,BlouLe00
David Johnson,ARI,53,121,14,73.6%,35,65,13,79.5%,22,30,12,81.5%,All David Johnson red zone rushing plays,JohnDa08
Devonta Freeman,ATL,50,129,9,59.5%,30,50,8,61.2%,16,3,5,84.2%,All Devonta Freeman red zone rushing plays,FreeDe00
Melvin Gordon,SDG,50,93,10,72.5%,29,37,10,80.6%,17,9,9,85.0%,All Melvin Gordon red zone rushing plays,GordMe00
Jeremy Hill,CIN,44,118,8,57.1%,25,48,7,56.8%,15,16,6,62.5%,All Jeremy Hill red zone rushing plays,HillJe01
DeMarco Murray,TEN,40,88,8,56.3%,29,39,7,67.4%,12,5,6,75.0%,All DeMarco Murray red zone rushing plays,MurrDe00
Jonathan Stewart,CAR,40,94,9,54.1%,22,39,9,55.0%,16,15,9,66.7%,All Jonathan Stewart red zone rushing plays,StewJo00
Ezekiel Elliott,DAL,39,143,11,63.9%,24,64,9,61.5%,11,11,6,64.7%,All Ezekiel Elliott red zone rushing plays,ElliEz00
LeSean McCoy,BUF,38,139,11,45.2%,25,61,8,42.4%,9,13,4,31.0%,All LeSean McCoy red zone rushing plays,McCoLe01
Latavius Murray,OAK,38,100,11,66.7%,26,48,11,78.8%,16,16,9,76.2%,All Latavius Murray red zone rushing plays,MurrLa00
Matt Asiata,MIN,36,71,6,55.4%,29,45,6,65.9%,17,13,5,81.0%,All Matt Asiata red zone rushing plays,AsiaMa00
Mark Ingram,NOR,36,135,5,41.9%,22,76,4,42.3%,7,8,2,29.2%,All Mark Ingram red zone rushing plays,IngrMa01
Ryan Mathews,PHI,35,92,8,45.5%,25,55,8,53.2%,16,16,6,64.0%,All Ryan Mathews red zone rushing plays,MathRy00
Todd Gurley,LAR,33,69,5,76.7%,20,18,5,76.9%,10,4,5,71.4%,All Todd Gurley red zone rushing plays,GurlTo01
Robert Kelley,WAS,32,77,5,51.6%,17,36,5,51.5%,7,9,3,46.7%,All Robert Kelley red zone rushing plays,KellRo00
Jay Ajayi,MIA,31,73,6,56.4%,17,31,5,53.1%,7,13,5,43.8%,All Jay Ajayi red zone rushing plays,AjayJa00
Matt Forte,NYJ,31,101,6,51.7%,16,26,5,50.0%,10,10,5,71.4%,All Matt Forte red zone rushing plays,FortMa00
Jordan Howard,CHI,31,87,6,68.9%,16,26,6,61.5%,8,8,4,61.5%,All Jordan Howard red zone rushing plays,HowaJo00
Carlos Hyde,SFO,31,106,6,50.0%,14,34,5,42.4%,6,1,3,33.3%,All Carlos Hyde red zone rushing plays,HydeCa00
Lamar Miller,HOU,31,59,4,50.8%,15,16,4,46.9%,8,8,4,53.3%,All Lamar Miller red zone rushing plays,MillLa01
Le'Veon Bell,PIT,30,105,7,65.2%,14,46,7,63.6%,5,5,3,55.6%,All Le'Veon Bell red zone rushing plays,BellLe00
Frank Gore,IND,29,77,4,44.6%,19,46,4,51.4%,10,8,2,62.5%,All Frank Gore red zone rushing plays,GoreFr00
Isaiah Crowell,CLE,28,46,6,60.9%,18,35,6,62.1%,9,12,5,69.2%,All Isaiah Crowell red zone rushing plays,CrowIs00
Terrance West,BAL,28,73,5,65.1%,10,20,4,55.6%,7,7,3,63.6%,All Terrance West red zone rushing plays,WestTe00
Spencer Ware,KAN,27,57,3,40.9%,20,40,3,43.5%,9,0,2,47.4%,All Spencer Ware red zone rushing plays,WareSp00
Tim Hightower,NOR,26,53,4,30.2%,16,23,4,30.8%,10,11,4,41.7%,All Tim Hightower red zone rushing plays,HighTi00
Devontae Booker,DEN,25,53,4,39.1%,13,21,3,39.4%,5,3,2,27.8%,All Devontae Booker red zone rushing plays,BookDe00
C.J. Anderson,DEN,23,39,4,35.9%,12,22,4,36.4%,7,4,3,38.9%,All C.J. Anderson red zone rushing plays,AndeC.00
Doug Martin,TAM,23,28,3,39.7%,12,0,3,42.9%,9,4,3,56.3%,All Doug Martin red zone rushing plays,MartDo00
Tevin Coleman,ATL,21,63,6,25.0%,11,27,5,22.4%,3,6,3,15.8%,All Tevin Coleman red zone rushing plays,ColeTe01
Derrick Henry,TEN,21,95,5,29.6%,11,33,4,25.6%,4,8,3,25.0%,All Derrick Henry red zone rushing plays,HenrDe00
Christine Michael,2TM,21,35,5,,12,22,5,,7,11,4,,All Christine Michael red zone rushing plays,MichCh00
Jerick McKinnon,MIN,20,49,2,30.8%,13,22,2,29.5%,3,5,1,14.3%,All Jerick McKinnon red zone rushing plays,McKiJe00
Bilal Powell,NYJ,19,52,2,31.7%,9,16,1,28.1%,1,-1,0,7.1%,All Bilal Powell red zone rushing plays,PoweBi00
Thomas Rawls,SEA,18,21,2,30.0%,8,18,2,23.5%,3,1,1,17.6%,All Thomas Rawls red zone rushing plays,RawlTh00
Robert Turbin,IND,18,47,7,27.7%,15,43,7,40.5%,4,3,3,25.0%,All Robert Turbin red zone rushing plays,TurbRo00
Matt Jones,WAS,17,57,3,27.4%,6,7,2,18.2%,3,2,2,20.0%,All Matt Jones red zone rushing plays,JoneMa04
Cam Newton,CAR,17,34,5,23.0%,11,25,5,27.5%,6,14,5,25.0%,All Cam Newton red zone rushing plays,NewtCa00
Darren Sproles,PHI,17,76,1,22.1%,8,25,1,17.0%,2,4,1,8.0%,All Darren Sproles red zone rushing plays,SproDa00
Tyrod Taylor,BUF,16,27,4,19.0%,12,16,3,20.3%,6,-8,1,20.7%,All Tyrod Taylor red zone rushing plays,TaylTy00
Alfred Blue,HOU,15,32,0,24.6%,11,16,0,34.4%,3,0,0,20.0%,All Alfred Blue red zone rushing plays,BlueAl00
Mike Gillislee,BUF,15,43,6,17.9%,11,32,6,18.6%,6,11,5,20.7%,All Mike Gillislee red zone rushing plays,GillMi00
Rashad Jennings,NYG,15,28,3,35.7%,10,13,3,40.0%,7,8,3,36.8%,All Rashad Jennings red zone rushing plays,JennRa00
Charcandrick West,KAN,15,32,1,22.7%,11,13,1,23.9%,4,-1,1,21.1%,All Charcandrick West red zone rushing plays,WestCh01
Jacquizz Rodgers,TAM,14,26,2,24.1%,5,5,2,17.9%,4,3,2,25.0%,All Jacquizz Rodgers red zone rushing plays,RodgJa00
Giovani Bernard,CIN,13,30,2,16.9%,7,20,2,15.9%,2,0,0,8.3%,All Giovani Bernard red zone rushing plays,BernGi00
Rex Burkhead,CIN,13,49,2,16.9%,8,18,2,18.2%,3,-2,0,12.5%,All Rex Burkhead red zone rushing plays,BurkRe00
Chris Ivory,JAX,13,19,3,41.9%,11,11,3,61.1%,7,9,3,63.6%,All Chris Ivory red zone rushing plays,IvorCh00
Zach Zenner,DET,13,24,4,35.1%,8,10,4,36.4%,4,-3,2,33.3%,All Zach Zenner red zone rushing plays,ZennZa00
Dion Lewis,NWE,12,37,0,12.2%,7,10,0,11.1%,1,2,0,3.1%,All Dion Lewis red zone rushing plays,LewiDi00
Ty Montgomery,GNB,12,32,3,21.4%,7,17,3,22.6%,5,7,3,33.3%,All Ty Montgomery red zone rushing plays,MontTy01
Aaron Rodgers,GNB,12,67,3,21.4%,7,33,3,22.6%,2,-3,0,13.3%,All Aaron Rodgers red zone rushing plays,RodgAa00
Alex Smith,KAN,12,51,5,18.2%,8,29,4,17.4%,1,2,1,5.3%,All Alex Smith red zone rushing plays,SmitAl03
Tom Brady,NWE,10,8,0,10.2%,8,-2,0,12.7%,6,-3,0,18.8%,All Tom Brady red zone rushing plays,BradTo00
Eddie Lacy,GNB,10,18,0,17.9%,6,10,0,19.4%,3,3,0,20.0%,All Eddie Lacy red zone rushing plays,LacyEd00
T.J. Yeldon,JAX,10,34,1,32.3%,2,5,1,11.1%,1,0,0,9.1%,All T.J. Yeldon red zone rushing plays,YeldT.00
Shaun Draughn,SFO,9,12,4,14.5%,7,3,4,21.2%,5,9,4,27.8%,All Shaun Draughn red zone rushing plays,DrauSh00
Jeremy Langford,CHI,9,17,4,20.0%,8,15,4,30.8%,5,5,4,38.5%,All Jeremy Langford red zone rushing plays,LangJe00
Marcus Mariota,TEN,9,62,2,12.7%,3,13,1,7.0%,0,0,0,.0%,All Marcus Mariota red zone rushing plays,MariMa01
Paul Perkins,NYG,9,35,0,21.4%,2,4,0,8.0%,1,0,0,5.3%,All Paul Perkins red zone rushing plays,PerkPa00
Dak Prescott,DAL,9,36,5,14.8%,9,36,5,23.1%,3,2,2,17.6%,All Dak Prescott red zone rushing plays,PresDa01
Aaron Ripkowski,GNB,9,16,2,16.1%,4,6,2,12.9%,2,4,2,13.3%,All Aaron Ripkowski red zone rushing plays,RipkAa00
Ryan Tannehill,MIA,9,31,1,16.4%,4,-1,1,12.5%,2,2,1,12.5%,All Ryan Tannehill red zone rushing plays,TannRy00
Damien Williams,MIA,9,14,3,16.4%,6,1,2,18.8%,6,1,2,37.5%,All Damien Williams red zone rushing plays,WillDa05
DeAngelo Williams,PIT,9,27,4,19.6%,4,10,3,18.2%,2,3,2,22.2%,All DeAngelo Williams red zone rushing plays,WillDe02
Drew Brees,NOR,8,11,2,9.3%,5,4,2,9.6%,2,2,2,8.3%,All Drew Brees red zone rushing plays,BreeDr00
Kenneth Farrow,SDG,8,25,0,11.6%,3,1,0,8.3%,2,3,0,10.0%,All Kenneth Farrow red zone rushing plays,FarrKe02
Chris Johnson,ARI,8,30,1,11.1%,3,6,1,6.8%,1,3,1,3.7%,All Chris Johnson red zone rushing plays,JohnCh04
Carson Wentz,PHI,8,16,2,10.4%,3,5,2,6.4%,2,5,2,8.0%,All Carson Wentz red zone rushing plays,WentCa00
Peyton Barber,TAM,7,19,0,12.1%,3,6,0,10.7%,0,0,0,.0%,All Peyton Barber red zone rushing plays,BarbPe01
Josh Ferguson,IND,7,-1,0,10.8%,0,0,0,.0%,0,0,0,.0%,All Josh Ferguson red zone rushing plays,FergJo02
Justin Forsett,3TM,7,7,1,,4,7,1,,1,1,1,,All Justin Forsett red zone rushing plays,ForsJu00
Duke Johnson,CLE,7,16,1,15.2%,5,12,1,17.2%,1,1,1,7.7%,All Duke Johnson red zone rushing plays,JohnDu00
Colin Kaepernick,SFO,7,32,2,11.3%,3,8,1,9.1%,1,4,1,5.6%,All Colin Kaepernick red zone rushing plays,KaepCo00
John Kuhn,NOR,7,9,4,8.1%,4,6,4,7.7%,4,6,4,16.7%,All John Kuhn red zone rushing plays,KuhnJo00
Theo Riddick,DET,7,9,0,18.9%,5,11,0,22.7%,1,0,0,8.3%,All Theo Riddick red zone rushing plays,RiddTh00
Wendell Smallwood,PHI,7,21,1,9.1%,3,6,1,6.4%,2,1,1,8.0%,All Wendell Smallwood red zone rushing plays,SmalWe00
James Starks,GNB,7,-2,0,12.5%,4,-5,0,12.9%,2,-6,0,13.3%,All James Starks red zone rushing plays,StarJa00
Mike Tolbert,CAR,7,14,0,9.5%,4,5,0,10.0%,1,2,0,4.2%,All Mike Tolbert red zone rushing plays,TolbMi00
Shane Vereen,NYG,7,24,1,16.7%,5,13,1,20.0%,3,1,1,15.8%,All Shane Vereen red zone rushing plays,VereSh00
Jonathan Williams,BUF,7,17,1,8.3%,5,6,1,8.5%,4,1,1,13.8%,All Jonathan Williams red zone rushing plays,WillJo07
Blake Bortles,JAX,6,7,2,19.4%,4,8,2,22.2%,3,1,2,27.3%,All Blake Bortles red zone rushing plays,BortBl00
Kirk Cousins,WAS,6,24,4,9.7%,4,8,3,12.1%,3,-1,2,20.0%,All Kirk Cousins red zone rushing plays,CousKi00
Kenneth Dixon,BAL,6,26,2,14.0%,2,1,1,11.1%,2,1,1,18.2%,All Kenneth Dixon red zone rushing plays,DixoKe00
Blaine Gabbert,SFO,6,21,2,9.7%,2,2,2,6.1%,2,2,2,11.1%,All Blaine Gabbert red zone rushing plays,GabbBl00
DuJuan Harris,SFO,6,1,0,9.7%,5,2,0,15.2%,3,5,0,16.7%,All DuJuan Harris red zone rushing plays,HarrDu01
Akeem Hunt,HOU,6,13,0,9.8%,3,10,0,9.4%,2,3,0,13.3%,All Akeem Hunt red zone rushing plays,HuntAk01
Andrew Luck,IND,6,44,2,9.2%,1,0,0,2.7%,0,0,0,.0%,All Andrew Luck red zone rushing plays,LuckAn00
Eli Manning,NYG,6,-4,0,14.3%,5,-5,0,20.0%,5,-5,0,26.3%,All Eli Manning red zone rushing plays,MannEl00
C.J. Prosise,SEA,6,12,0,10.0%,5,6,0,14.7%,2,1,0,11.8%,All C.J. Prosise red zone rushing plays,ProsC.00
Matt Ryan,ATL,6,16,0,7.1%,3,1,0,6.1%,0,0,0,.0%,All Matt Ryan red zone rushing plays,RyanMa00
Charles Sims,TAM,6,0,1,10.3%,4,2,1,14.3%,3,2,1,18.8%,All Charles Sims red zone rushing plays,SimsCh00
Matthew Stafford,DET,6,24,2,16.2%,4,9,2,18.2%,2,1,1,16.7%,All Matthew Stafford red zone rushing plays,StafMa00
Dwayne Washington,DET,6,6,1,16.2%,4,0,1,18.2%,4,0,1,33.3%,All Dwayne Washington red zone rushing plays,WashDw00
Fozzy Whittaker,CAR,6,24,0,8.1%,2,8,0,5.0%,0,0,0,.0%,All Fozzy Whittaker red zone rushing plays,WhitFo00
Russell Wilson,SEA,6,11,1,10.0%,4,4,1,11.8%,2,3,1,11.8%,All Russell Wilson red zone rushing plays,WilsRu00
Derek Carr,OAK,5,-7,0,8.8%,0,0,0,.0%,0,0,0,.0%,All Derek Carr red zone rushing plays,CarrDe02
Alex Collins,SEA,5,17,1,8.3%,2,4,1,5.9%,2,4,1,11.8%,All Alex Collins red zone rushing plays,CollAl00
Andy Dalton,CIN,5,6,4,6.5%,4,6,4,9.1%,4,6,4,16.7%,All Andy Dalton red zone rushing plays,DaltAn00
Orleans Darkwa,NYG,5,25,2,11.9%,3,4,2,12.0%,3,4,2,15.8%,All Orleans Darkwa red zone rushing plays,DarkOr00
Andre Ellington,ARI,5,10,0,6.9%,3,5,0,6.8%,1,3,0,3.7%,All Andre Ellington red zone rushing plays,ElliAn00
Joe Flacco,BAL,5,12,2,11.6%,3,8,2,16.7%,2,1,1,18.2%,All Joe Flacco red zone rushing plays,FlacJo00
Alfred Morris,DAL,5,5,2,8.2%,2,7,2,5.1%,2,7,2,11.8%,All Alfred Morris red zone rushing plays,MorrAl00
